# from_robot from_pose to_robot to_pose type dx dy dtheta xy_noise_std theta_noise_std
0 0 0 1 odom 1.0419 0.1175 -0.0004 0.1 0.5000
0 1 0 2 odom 1.0046 -0.1956 0.0030 0.1 0.5000
0 2 0 3 odom 1.0229 -0.0473 0.0108 0.1 0.5000
0 3 0 4 odom 0.9107 0.0047 0.0042 0.1 0.5000
0 4 0 5 odom -0.1222 -0.0498 1.5688 0.1 0.5000
0 5 0 6 odom 0.0270 -0.1750 1.5842 0.1 0.5000
0 6 0 7 odom 0.8666 0.0924 0.0018 0.1 0.5000
0 7 0 8 odom 0.9926 0.0914 0.0049 0.1 0.5000
0 0 0 8 loop 2.1501 -0.2699 -3.1059 0.15 1.0000
0 8 0 9 odom 1.2643 0.0298 -0.0106 0.1 0.5000
0 0 0 9 loop 0.8872 -0.3384 -3.1165 0.15 1.0000
0 9 0 10 odom 0.9465 0.0547 0.0036 0.1 0.5000
0 0 0 10 loop -0.0568 -0.4255 -3.1130 0.15 1.0000
0 10 0 11 odom -0.1163 0.0337 1.5678 0.1 0.5000
0 0 0 11 loop -0.0267 -0.3082 -1.5451 0.15 1.0000
0 11 0 12 odom 1.0373 0.0259 -0.0008 0.1 0.5000
0 1 0 12 loop -1.0105 -1.4672 -1.5455 0.15 1.0000
0 12 0 13 odom 0.9711 -0.0164 -0.0059 0.1 0.5000
0 0 0 13 loop 0.0382 -2.3155 -1.5518 0.15 1.0000
0 13 0 14 odom 1.0788 -0.0302 -0.0006 0.1 0.5000
0 14 0 15 odom 0.9705 0.0194 0.0113 0.1 0.5000
0 15 0 16 odom -0.0248 -0.1653 1.5788 0.1 0.5000
0 16 0 17 odom 0.9953 0.1409 -0.0106 0.1 0.5000
0 17 0 18 odom 0.9941 -0.1884 -0.0039 0.1 0.5000
0 18 0 19 odom 0.7950 0.1356 -0.0064 0.1 0.5000
0 19 0 20 odom 0.9910 -0.0395 0.0080 0.1 0.5000
0 20 0 21 odom 0.9649 0.1306 0.0144 0.1 0.5000
0 21 0 22 odom 0.9601 0.0857 0.0141 0.1 0.5000
0 22 0 23 odom 0.9482 -0.0416 0.0052 0.1 0.5000
0 23 0 24 odom 1.0644 -0.0562 -0.0054 0.1 0.5000
0 24 0 25 odom 1.0199 -0.0156 -0.0019 0.1 0.5000
0 25 0 26 odom 0.0777 -0.0358 1.5728 0.1 0.5000
0 26 0 27 odom -0.0657 -0.0326 1.5705 0.1 0.5000
0 27 0 28 odom 0.8678 0.0056 -0.0066 0.1 0.5000
0 22 0 28 loop 2.2625 0.1329 3.1346 0.15 1.0000
0 28 0 29 odom 0.9762 0.2528 -0.0175 0.1 0.5000
0 23 0 29 loop 0.3467 -0.1723 3.1120 0.15 1.0000
0 29 0 30 odom 1.0476 -0.0119 0.0113 0.1 0.5000
0 20 0 30 loop 2.1602 0.1263 -3.1262 0.15 1.0000
0 30 0 31 odom 1.1495 0.0265 0.0055 0.1 0.5000
0 19 0 31 loop 2.0053 0.0316 -3.1128 0.15 1.0000
0 31 0 32 odom 0.1333 -0.2169 1.5548 0.1 0.5000
0 19 0 32 loop 1.7932 -0.1092 -1.5580 0.15 1.0000
0 32 0 33 odom 0.8617 0.0001 0.0118 0.1 0.5000
