# robot_id pose_id x y theta
0 0 1.0915 0.0741 0.0056
0 1 2.1328 0.1971 0.0052
0 2 3.1390 0.0097 0.0082
0 3 4.1626 -0.0183 0.0189
0 4 5.0729 0.0075 0.0232
0 5 5.1253 -0.1137 1.5919
0 6 5.0923 0.0604 -3.1071
0 7 4.2296 -0.0635 -3.1052
0 8 3.2416 -0.1958 -3.1003
0 9 1.9788 -0.2643 -3.1109
0 10 1.0347 -0.3513 -3.1074
0 11 1.0648 -0.2341 -1.5395
0 12 1.1223 -1.2701 -1.5403
0 13 1.1298 -2.2414 -1.5462
0 14 1.1255 -3.3206 -1.5468
0 15 1.1791 -4.2899 -1.5355
0 16 1.1615 -4.4561 0.0433
0 17 2.1517 -4.2828 0.0326
0 18 3.1508 -4.4425 0.0287
0 19 3.9426 -4.2892 0.0223
0 20 4.9343 -4.2987 0.0303
0 21 5.8925 -4.1252 0.0447
0 22 6.8459 -3.9833 0.0587
0 23 7.7949 -3.9643 0.0639
0 24 8.8608 -3.9581 0.0585
0 25 9.8799 -3.9160 0.0566
0 26 9.9111 -3.8363 1.6294
0 27 9.9748 -3.8000 -3.0833
0 28 9.1085 -3.8504 -3.0898
0 29 8.1416 -4.1365 -3.1073
0 30 7.0945 -4.1724 -3.0960
0 31 5.9479 -4.2576 -3.0905
0 32 5.7358 -4.3985 -1.5357
0 33 5.7763 -5.2593 -1.5239
0 34 5.8495 -6.2750 -1.5094
0 35 5.8983 -7.2996 -1.5095
0 36 5.9474 -7.3424 0.0722
0 37 6.8752 -7.2089 0.0527
0 38 7.7802 -7.1530 0.0517
0 39 8.8192 -6.8582 0.0469
0 40 9.9072 -6.8111 0.0623
0 41 10.8371 -6.7978 0.0523
0 42 11.8527 -6.6604 0.0490
0 43 12.8716 -6.6322 0.0316
0 44 13.8952 -6.7078 0.0247
0 45 14.9660 -6.7225 0.0177
0 46 16.0730 -6.7750 0.0124
0 47 17.1076 -6.5691 0.0166
0 48 18.0292 -6.5675 0.0250
0 49 18.9834 -6.4831 0.0451
0 50 19.2027 -6.4232 1.6094
0 51 19.1524 -5.3776 1.6131
0 52 19.2104 -5.4651 -3.0940
0 53 18.2871 -5.4651 -3.0968
0 54 17.2259 -5.6123 -3.0999
0 55 16.2689 -5.7604 -3.1007
0 56 16.2320 -5.8705 -1.5250
0 57 16.3365 -6.8463 -1.5256
0 58 16.2580 -7.8091 -1.5322
0 59 16.3838 -8.7932 -1.5299
0 60 16.6266 -9.7076 -1.5197
0 61 16.7298 -10.6461 -1.5094
0 62 16.7750 -11.8110 -1.4952
0 63 16.9131 -12.7589 -1.4909
0 64 17.1048 -13.8005 -1.4990
0 65 17.0124 -14.8485 -1.5104
0 66 17.0857 -15.8287 -1.5250
0 67 17.0142 -15.6878 -3.1032
0 68 15.9331 -15.6522 -3.0986
0 69 14.9470 -15.7155 -3.1070
0 70 13.8126 -15.7016 -3.1110
0 71 13.7120 -15.9505 1.6084
0 72 13.7239 -15.0382 1.5932
0 73 13.7920 -13.8991 1.5963
0 74 13.9142 -12.8186 1.5789
0 75 13.9163 -11.9056 1.5715
0 76 14.0466 -10.8346 1.5706
0 77 14.0003 -9.9199 1.5726
0 78 14.3247 -8.9125 1.5543
0 79 14.3897 -9.1448 3.1194
0 80 13.5073 -9.0952 3.1147
0 81 12.3847 -8.7769 3.0972
0 82 11.1827 -8.7439 3.1032
0 83 11.2018 -8.6284 -1.6227
0 84 11.0354 -9.7040 -1.6112
0 85 10.9483 -10.7841 -1.6148
0 86 10.8220 -11.8100 -1.6015
0 87 10.7161 -13.0903 -1.5983
0 88 10.7293 -13.8669 -1.5768
0 89 10.6827 -13.8244 3.1356
0 90 9.7679 -13.8811 3.1323
0 91 8.6076 -13.8768 3.1158
0 92 8.5023 -13.9731 -1.5864
0 93 8.3511 -15.0650 -1.5802
0 94 8.3463 -16.0091 -1.5828
0 95 8.3583 -17.1116 -1.5732
0 96 8.2864 -18.1805 -1.5736
0 97 8.2484 -19.2384 -1.5700
0 98 8.2481 -20.2028 -1.5667
0 99 8.2413 -21.0887 -1.5559
0 100 8.2338 -22.0608 -1.5684
0 101 8.0648 -22.9615 -1.5578
0 102 8.1472 -24.1104 -1.5589
0 103 8.1426 -25.0195 -1.5614
0 104 8.2676 -26.0098 -1.5591
0 105 8.3346 -26.9167 -1.5645
0 106 8.2185 -27.8471 -1.5525
0 107 8.2571 -28.9033 -1.5561
0 108 8.2650 -28.8692 0.0276
0 109 8.3359 -29.0103 1.6040
0 110 8.4191 -29.1614 -3.0957
0 111 8.5853 -28.9640 -1.5185
0 112 8.6612 -29.8422 -1.5186
0 113 8.7320 -31.0024 -1.5039
0 114 8.7604 -32.0381 -1.5135
0 115 8.7872 -33.0200 -1.5016
0 116 8.9211 -33.9397 -1.5105
0 117 8.9796 -34.7876 -1.5149
0 118 8.9432 -35.9047 -1.5114
0 119 8.8696 -36.0279 0.0473
0 120 8.8199 -35.9880 -1.5096
0 121 8.8679 -35.7969 0.0611
0 122 8.9090 -35.9019 1.6365
0 123 8.8203 -34.8215 1.6373
0 124 8.8089 -33.8757 1.6305
0 125 8.7907 -33.9713 -3.0884
0 126 7.7344 -33.9877 -3.1066
0 127 7.7298 -33.8548 -1.5365
0 128 7.7192 -35.0018 -1.5538
0 129 7.6791 -35.9385 -1.5613
0 130 7.7540 -36.8783 -1.5604
0 131 7.7994 -37.8270 -1.5657
0 132 7.7047 -38.8240 -1.5834
0 133 7.8213 -39.9200 -1.5833
0 134 7.7190 -40.7757 -1.5850
0 135 7.7891 -40.6372 -0.0182
0 136 8.7892 -40.6299 -0.0133
0 137 9.6135 -40.6634 -0.0143
0 138 10.6422 -40.9491 -0.0147
0 139 11.6027 -41.0639 -0.0024
0 140 12.5484 -40.9552 0.0128
0 141 13.4288 -40.9835 0.0099
0 142 14.3850 -40.9921 0.0265
0 143 15.3925 -41.0451 0.0312
0 144 16.3503 -41.1588 0.0214
0 145 17.2902 -41.1142 0.0202
0 146 18.3391 -41.0323 0.0267
0 147 19.3858 -40.8727 0.0232
0 148 20.3409 -40.7810 0.0248
0 149 20.4878 -40.7579 1.5983
0 150 20.6615 -39.7583 1.5909
0 151 20.6652 -38.7562 1.6146
0 152 20.6624 -37.7808 1.6014
0 153 20.7870 -36.8112 1.5971
0 154 20.8256 -35.6689 1.5911
0 155 20.7807 -35.6348 0.0286
0 156 20.6256 -35.6164 -1.5460
0 157 20.5726 -36.4243 -1.5356
0 158 20.7594 -37.4752 -1.5411
0 159 20.7631 -38.4534 -1.5266
0 160 20.8650 -39.5209 -1.5297
0 161 20.9522 -40.4876 -1.5381
0 162 20.9696 -40.5528 -3.1158
0 163 19.7274 -40.7904 -3.1079
0 164 18.6884 -40.8850 -3.0965
0 165 17.6390 -40.9209 -3.0928
0 166 16.5602 -41.0680 -3.0893
0 167 15.3590 -41.0631 -3.0837
0 168 14.2774 -41.1202 -3.0918
0 169 13.2609 -41.3423 -3.0941
0 170 12.2453 -41.3839 -3.0953
0 171 12.2031 -41.4921 -1.5084
0 172 12.4000 -42.3492 -1.5135
0 173 12.5366 -43.4037 -1.5157
0 174 12.6093 -43.3221 0.0442
0 175 12.6204 -43.3333 -1.5201
0 176 12.7152 -44.2861 -1.5209
0 177 12.7313 -44.3251 0.0441
0 178 12.6627 -44.2936 -1.5188
0 179 12.8073 -44.1349 -3.0837
0 180 11.7787 -44.3465 -3.0804
0 181 11.7796 -44.5154 -1.5123
0 182 11.8725 -45.6099 -1.5094
0 183 11.9092 -46.7711 -1.5035
0 184 11.9362 -47.9155 -1.5100
0 185 12.0059 -48.7625 -1.5110
0 186 11.9972 -48.6621 0.0472
0 187 12.8420 -48.5160 0.0406
0 188 13.8370 -48.6020 0.0500
0 189 14.9278 -48.7234 0.0671
0 190 15.9179 -48.6614 0.0526
0 191 16.8444 -48.6181 0.0647
0 192 17.8904 -48.3433 0.0455
0 193 18.9618 -48.2162 0.0371
0 194 19.0488 -48.3343 1.6114
0 195 19.0842 -47.2226 1.6167
0 196 19.0946 -47.2576 -3.1001
0 197 18.0262 -47.2964 -3.0929
0 198 17.0734 -47.3713 -3.0828
0 199 16.1909 -47.4507 -3.0927
